,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
0,hithadhoo,-0.6,73.0833,28.17,75,70,5.33,MV,1634663234,
1,chuy,-33.6971,-53.4616,19.22,55,10,4.59,UY,1634663234,
3,vaini,-21.2,-175.2,23.17,64,50,8.16,TO,1634663235,
7,itarema,-2.9248,-39.9167,31.24,57,46,7.74,BR,1634663237,
8,raga,8.4596,25.678,23.07,78,97,2.51,SS,1634663237,
11,hilo,19.7297,-155.09,20.23,93,67,1.34,US,1634662973,
